release_id,char_id,section_id,deadline_date
R_014,C_028,S_005,2027-09-30
R_015,C_029,S_001,2027-10-15
R_015,C_029,S_003,2027-11-09
R_015,C_029,S_002,2027-11-30
R_015,C_029,S_004,2027-12-19
R_015,C_029,S_005,2027-10-30
R_015,C_030,S_001,2027-10-15
R_015,C_030,S_003,2027-11-09
R_015,C_030,S_002,2027-11-30
R_015,C_030,S_004,2027-12-19
R_015,C_030,S_005,2027-10-30
R_016,C_031,S_001,2027-11-14
R_016,C_031,S_003,2027-12-09
R_016,C_031,S_002,2027-12-30
R_016,C_031,S_004,2028-01-18
R_016,C_031,S_005,2027-11-29
R_016,C_032,S_001,2027-11-14
R_016,C_032,S_003,2027-12-09
R_016,C_032,S_002,2027-12-30
R_016,C_032,S_004,2028-01-18
R_016,C_032,S_005,2027-11-29
R_017,C_033,S_001,2027-12-14
R_017,C_033,S_003,2028-01-08
R_017,C_033,S_002,2028-01-29
R_017,C_033,S_004,2028-02-17
R_017,C_033,S_005,2027-12-29
R_017,C_034,S_001,2027-12-14
R_017,C_034,S_003,2028-01-08
R_017,C_034,S_002,2028-01-29
R_017,C_034,S_004,2028-02-17
R_017,C_034,S_005,2027-12-29
R_018,C_035,S_001,2028-01-13
R_018,C_035,S_003,2028-02-07
R_018,C_035,S_002,2028-02-28
R_018,C_035,S_004,2028-03-18
R_018,C_035,S_005,2028-01-28
R_018,C_036,S_001,2028-01-13
R_018,C_036,S_003,2028-02-07
R_018,C_036,S_002,2028-02-28
R_018,C_036,S_004,2028-03-18
R_018,C_036,S_005,2028-01-28
R_019,C_037,S_001,2028-02-12
R_019,C_037,S_003,2028-03-08
R_019,C_037,S_002,2028-03-29
R_019,C_037,S_004,2028-04-17
R_019,C_037,S_005,2028-02-27
R_019,C_038,S_001,2028-02-12
R_019,C_038,S_003,2028-03-08
R_019,C_038,S_002,2028-03-29
R_019,C_038,S_004,2028-04-17
R_019,C_038,S_005,2028-02-27
R_020,C_039,S_001,2028-03-13
R_020,C_039,S_003,2028-04-07
R_020,C_039,S_002,2028-04-28
R_020,C_039,S_004,2028-05-17
R_020,C_039,S_005,2028-03-28
R_020,C_040,S_001,2028-03-13
R_020,C_040,S_003,2028-04-07
R_020,C_040,S_002,2028-04-28
R_020,C_040,S_004,2028-05-17
R_020,C_040,S_005,2028-03-28
R_021,C_041,S_001,2028-04-12
R_021,C_041,S_003,2028-05-07
R_021,C_041,S_002,2028-05-28
R_021,C_041,S_004,2028-06-16
R_021,C_041,S_005,2028-04-27
R_021,C_042,S_001,2028-04-12
R_021,C_042,S_003,2028-05-07
R_021,C_042,S_002,2028-05-28
R_021,C_042,S_004,2028-06-16
R_021,C_042,S_005,2028-04-27
R_022,C_043,S_001,2028-05-12
R_022,C_043,S_003,2028-06-06
R_022,C_043,S_002,2028-06-27
R_022,C_043,S_004,2028-07-16
R_022,C_043,S_005,2028-05-27
R_022,C_044,S_001,2028-05-12
R_022,C_044,S_003,2028-06-06
R_022,C_044,S_002,2028-06-27
R_022,C_044,S_004,2028-07-16
R_022,C_044,S_005,2028-05-27
R_023,C_045,S_001,2028-06-11
R_023,C_045,S_003,2028-07-06
R_023,C_045,S_002,2028-07-27
R_023,C_045,S_004,2028-08-15
R_023,C_045,S_005,2028-06-26
R_023,C_046,S_001,2028-06-11
R_023,C_046,S_003,2028-07-06
R_023,C_046,S_002,2028-07-27
R_023,C_046,S_004,2028-08-15
R_023,C_046,S_005,2028-06-26
R_024,C_047,S_001,2028-07-11
R_024,C_047,S_003,2028-08-05
R_024,C_047,S_002,2028-08-26
R_024,C_047,S_004,2028-09-14
R_024,C_047,S_005,2028-07-26
R_024,C_048,S_001,2028-07-11
R_024,C_048,S_003,2028-08-05
R_024,C_048,S_002,2028-08-26
R_024,C_048,S_004,2028-09-14
R_024,C_048,S_005,2028-07-26
